Rank,Year,Movie,WorldwideBox Office,DomesticBox Office,InternationalBox Office
362,1994,True Lies,"$365,300,000","$146,282,411","$219,017,589"
363,1995,Toy Story,"$365,270,951","$192,523,233","$172,747,718"
364,1999,Notting Hill,"$363,718,196","$116,089,678","$247,628,518"
365,2019,Shazam!,"$363,664,533","$140,371,656","$223,292,877"
366,2018,The Nun,"$363,391,647","$117,450,119","$245,941,528"
367,1998,A Bug's Life,"$363,095,319","$162,798,565","$200,296,754"
368,2004,Ocean's Twelve,"$362,989,076","$125,531,634","$237,457,442"
369,2007,Alvin and the Chipmunks,"$362,605,033","$217,326,974","$145,278,059"
370,2001,Planet of the Apes,"$362,211,740","$180,011,740","$182,200,000"
371,2013,The Hangover 3,"$362,000,072","$112,200,072","$249,800,000"
372,2020,Tenet,"$361,875,852","$57,929,000","$303,946,852"
373,1999,The World is Not Enough,"$361,730,660","$126,930,660","$234,800,000"
374,2018,Zhuo yao ji 2,"$361,683,815","$706,153","$360,977,662"
375,2009,Fast & Furious,"$359,347,833","$155,064,265","$204,283,568"
376,2015,Zhuo yao ji,"$359,295,591","$32,766","$359,262,825"
377,2005,Batman Begins,"$359,004,502","$205,343,774","$153,660,728"
378,1992,Home Alone 2: Lost in New York,"$358,994,850","$173,585,516","$185,409,334"
379,2002,Minority Report,"$358,824,714","$132,024,714","$226,800,000"
380,1994,The Flintstones,"$358,500,000","$130,531,208","$227,968,792"
381,2016,Kimi no na wa,"$357,065,738","$5,000,181","$352,065,557"
382,1986,Top Gun,"$357,011,945","$180,012,912","$176,999,033"
383,1995,Goldeneye,"$356,429,941","$106,429,941","$250,000,000"
384,1999,American Beauty,"$356,258,047","$130,058,047","$226,200,000"
385,2000,Dinosaur,"$356,148,063","$137,748,063","$218,400,000"
386,2002,Catch Me if You Can,"$355,612,291","$164,606,800","$191,005,491"
387,2011,X-Men: First Class,"$355,408,305","$146,408,305","$209,000,000"
388,2014,Night at the Museum: Secret of the Tomb,"$353,756,621","$113,746,621","$240,010,000"
389,1993,The Fugitive,"$353,715,317","$183,875,760","$169,839,557"
390,2013,The Great Gatsby,"$353,640,419","$144,840,419","$208,800,000"
391,2019,Dumbo,"$353,166,307","$114,766,307","$238,400,000"
392,2014,Noah,"$352,831,065","$101,200,044","$251,631,021"
393,1992,Basic Instinct,"$352,700,000","$117,727,224","$234,972,776"
394,2016,The Angry Birds Movie,"$352,327,887","$107,509,366","$244,818,521"
395,2021,Black Widow,"$352,277,006","$175,777,006","$176,500,000"
396,2010,The Karate Kid,"$351,774,938","$176,591,618","$175,183,320"
397,2017,Murder on the Orient Express,"$351,767,147","$102,826,543","$248,940,604"
398,1994,The Mask,"$351,620,129","$119,920,129","$231,700,000"
399,1988,Who Framed Roger Rabbit?,"$351,500,000","$154,112,492","$197,387,508"
400,2012,Dr. Seussâ The Lorax,"$350,976,753","$214,030,500","$136,946,253"
402,1998,Deep Impact,"$349,464,664","$140,464,664","$209,000,000"
403,2011,Alvin and the Chipmunks: Chipwrecked,"$349,088,523","$133,107,389","$215,981,134"
404,2016,The Legend of Tarzan,"$348,902,025","$126,643,061","$222,258,964"
405,2018,Mary Poppins Returns,"$348,901,032","$171,958,438","$176,942,594"
406,2004,"I, Robot","$348,629,585","$144,801,023","$203,828,562"
407,2013,The Smurfs 2,"$348,547,523","$71,017,784","$277,529,739"
408,2014,The Maze Runner,"$348,319,861","$102,427,862","$245,891,999"
409,2001,Rush Hour 2,"$347,425,832","$226,164,286","$121,261,546"
410,1995,Pocahontas,"$347,100,000","$141,579,773","$205,520,227"
411,2018,Peter Rabbit,"$346,727,372","$115,234,093","$231,493,279"
412,2000,How the Grinch Stole Christmas,"$345,445,403","$260,348,825","$85,096,578"
413,2017,xXx: Return of Xander Cage,"$345,033,359","$44,898,413","$300,134,946"
414,2006,Over the Hedge,"$343,397,247","$155,019,340","$188,377,907"
415,2016,Trolls,"$343,242,613","$153,707,064","$189,535,549"
416,2013,Now You See Me,"$342,769,200","$117,723,989","$225,045,211"
417,2008,Wanted,"$342,416,460","$134,508,551","$207,907,909"
418,1977,Close Encounters of the Third Kind,"$340,800,479","$169,100,479","$171,700,000"
419,2007,Enchanted,"$340,384,141","$127,706,877","$212,677,264"
420,1997,Tomorrow Never Dies,"$339,504,276","$125,304,276","$214,200,000"
421,1995,Batman Forever,"$336,529,144","$184,031,112","$152,498,032"
422,2010,Prince of Persia: Sands of Time,"$336,359,676","$90,759,676","$245,600,000"
423,1996,The Rock,"$336,069,511","$134,069,511","$202,000,000"
424,1995,Apollo 13,"$335,802,271","$173,772,767","$162,029,504"
425,2016,Star Trek Beyond,"$335,673,708","$158,848,340","$176,825,368"
426,2018,A Quiet Place,"$334,876,670","$188,024,361","$146,852,309"
427,2017,Never Say Die,"$334,536,622",,"$334,536,622"
428,2016,The Great Wall,"$334,486,852","$45,157,105","$289,329,747"
429,2015,The Good Dinosaur,"$333,771,037","$123,087,120","$210,683,917"
430,2005,Fantastic Four,"$333,132,750","$154,696,080","$178,436,670"
431,1984,Indiana Jones and the Temple of Doom,"$333,080,271","$179,880,271","$153,200,000"
432,1989,Back to the Future Part II,"$331,971,881","$118,450,002","$213,521,879"
433,2014,22 Jump Street,"$331,333,876","$191,719,337","$139,614,539"
434,2004,National Treasure,"$331,323,410","$173,005,002","$158,318,408"
435,2010,Black Swan,"$331,266,710","$106,954,678","$224,312,032"
436,2014,300: Rise of an Empire,"$330,780,051","$106,580,051","$224,200,000"
437,2000,Meet the Parents,"$330,425,040","$166,225,040","$164,200,000"
438,2008,The Curious Case of Benjamin Button,"$329,631,958","$127,509,326","$202,122,632"
439,2000,The Perfect Storm,"$328,711,434","$182,618,434","$146,093,000"
440,2016,Now You See Me 2,"$328,325,007","$65,075,540","$263,249,467"
441,1986,Crocodile Dundee,"$328,203,506","$174,803,506","$153,400,000"
442,1995,Se7en,"$328,125,643","$100,125,643","$228,000,000"
443,2008,Bolt,"$328,015,029","$114,053,579","$213,961,450"
444,2015,Taken 3,"$327,656,424","$89,256,424","$238,400,000"
445,2019,Feng Kuang De Wai Xing Ren,"$326,150,303",,"$326,150,303"
446,2006,The Devil Wears Prada,"$326,073,155","$124,740,460","$201,332,695"
447,2019,John Wick: Chapter 3 â Parabellum,"$325,674,995","$171,016,727","$154,658,268"
448,1996,The Hunchback of Notre Dame,"$325,500,000","$100,138,851","$225,361,149"
449,2010,Robin Hood,"$322,459,006","$105,487,148","$216,971,858"
450,1993,Schindlerâs List,"$322,197,132","$96,898,818","$225,298,314"
451,2010,Megamind,"$321,887,208","$148,415,853","$173,471,355"
452,1987,Fatal Attraction,"$320,100,000","$156,645,693","$163,454,307"
453,2018,Green Book,"$320,029,388","$85,080,171","$234,949,217"
454,2010,The Last Airbender,"$319,713,881","$131,772,187","$187,941,694"
455,1992,Lethal Weapon 3,"$319,700,000","$144,731,527","$174,968,473"
456,2012,Journey 2: The Mysterious Island,"$318,146,162","$103,860,290","$214,285,872"
457,2013,The Conjuring,"$317,744,402","$137,400,141","$180,344,261"
458,2001,A Beautiful Mind,"$317,668,058","$170,708,996","$146,959,062"
459,2009,Inglourious Basterds,"$316,915,264","$120,774,594","$196,140,670"
460,1984,Beverly Hills Cop,"$316,300,000","$234,760,478","$81,539,522"
461,2009,Disneyâs A Christmas Carol,"$315,709,697","$137,855,863","$177,853,834"
462,1997,Air Force One,"$315,268,353","$172,956,409","$142,311,944"
463,2009,The Proposal,"$314,709,717","$163,958,031","$150,751,686"
464,1997,As Good as it Gets,"$314,111,923","$148,478,011","$165,633,912"
465,2016,Resident Evil: The Final Chapter,"$314,101,190","$26,844,692","$287,256,498"
466,2012,Battleship,"$313,477,717","$65,233,400","$248,244,317"
467,2019,Knives Out,"$312,952,178","$165,364,060","$147,588,118"
468,2017,Wonder,"$312,755,215","$132,422,809","$180,332,406"
469,2004,The Polar Express,"$312,719,437","$188,578,855","$124,140,582"
470,1999,Austin Powers: The Spy Who Shagged Me,"$312,383,487","$206,040,085","$106,343,402"
471,2012,The Expendables 2,"$311,979,256","$85,028,192","$226,951,064"
472,2007,Ocean's Thirteen,"$311,744,465","$117,144,465","$194,600,000"
473,2015,The SpongeBob Movie: Sponge Out of Water,"$311,013,181","$162,994,032","$148,019,149"
474,2004,The Bourne Supremacy,"$311,001,124","$176,087,450","$134,913,674"
475,2010,Little Fockers,"$310,650,574","$148,438,600","$162,211,974"
476,2017,The Lego Batman Movie,"$310,570,560","$175,750,384","$134,820,176"
477,2015,Maze Runner: The Scorch Trials,"$310,566,162","$81,697,192","$228,868,970"
478,2016,The Conjuring 2: The Enfield Poltergeist,"$310,201,399","$102,470,008","$207,731,391"
479,1999,Runaway Bride,"$310,138,178","$152,257,509","$157,880,669"
480,2005,Chicken Little,"$310,043,823","$135,386,665","$174,657,158"
481,1996,Ransom,"$308,700,000","$136,492,681","$172,207,319"
482,2017,Qian Ren 3: Yan Zhi Da Zuo Zhan,"$307,547,824","$837,791","$306,710,033"
483,2006,The Pursuit of Happyness,"$307,311,093","$162,586,036","$144,725,057"
484,2014,The Fault in Our Stars,"$307,166,834","$124,872,350","$182,294,484"
485,2012,Rise of the Guardians,"$306,900,902","$103,412,758","$203,488,144"
486,2002,Chicago,"$306,770,545","$170,687,518","$136,083,027"
487,2009,The Blind Side,"$305,705,794","$255,959,475","$49,746,319"
488,2017,Annabelle: Creation,"$305,384,865","$102,092,201","$203,292,664"
489,2012,Wrath of the Titans,"$305,270,083","$83,670,083","$221,600,000"
490,2016,Dangal,"$305,149,461","$12,391,761","$292,757,700"
491,2020,Sonic The Hedgehog,"$304,961,681","$146,066,470","$158,895,211"
492,2018,Skyscraper,"$304,868,961","$68,420,120","$236,448,841"
493,2013,A Good Day to Die Hard,"$304,249,198","$67,349,198","$236,900,000"
494,1996,101 Dalmatians,"$304,200,000","$136,189,294","$168,010,706"
495,1998,Mulan,"$303,500,000","$120,620,254","$182,879,746"
496,1997,Liar Liar,"$302,710,615","$181,410,615","$121,300,000"
497,2009,G.I. Joe: The Rise of Cobra,"$302,469,017","$150,201,498","$152,267,519"
498,2016,Passengers,"$302,239,672","$100,014,699","$202,224,973"
499,1991,Hook,"$300,854,823","$119,654,823","$181,200,000"
500,1985,Rambo: First Blood Part II,"$300,400,000","$150,415,432","$149,984,568"
502,1978,Superman,"$300,200,000","$134,218,018","$165,981,982"
503,2004,Van Helsing,"$300,150,546","$120,150,546","$180,000,000"
504,2008,Horton Hears a Who,"$299,477,886","$154,529,439","$144,948,447"
505,2010,Shutter Island,"$299,461,782","$128,012,934","$171,448,848"
506,1997,My Best Friend's Wedding,"$298,923,419","$126,813,153","$172,110,266"
507,1999,Stuart Little,"$298,815,224","$140,015,224","$158,800,000"
508,2018,Oceanâs 8,"$297,718,711","$140,218,711","$157,500,000"
509,1989,Look Who's Talking,"$297,100,000","$140,088,813","$157,011,187"
510,2000,X-Men,"$296,872,367","$157,299,717","$139,572,650"
511,2002,Austin Powers in Goldmember,"$296,338,663","$213,117,789","$83,220,874"
512,2016,Miss Peregrineâs Home for Peculiar Ch…,"$295,986,876","$87,242,834","$208,744,042"
513,2010,Resident Evil: Afterlife,"$295,874,190","$60,128,566","$235,745,624"
514,1984,Ghostbusters,"$295,211,811","$242,212,467","$52,999,344"
515,2015,The Divergent Series: Insurgent,"$295,075,882","$130,179,072","$164,896,810"
516,2010,Sex and the City 2,"$294,680,778","$95,347,692","$199,333,086"
517,1998,Doctor Dolittle,"$294,156,605","$144,156,605","$150,000,000"
518,2009,G-Force,"$292,817,841","$119,436,770","$173,381,071"
519,2018,Pacific Rim: Uprising,"$290,930,148","$59,874,525","$231,055,623"
520,1999,The Green Mile,"$290,701,374","$136,801,374","$153,900,000"
521,2010,Salt,"$290,650,494","$118,311,368","$172,339,126"
522,2017,Ferdinand,"$289,838,913","$84,410,380","$205,428,533"
523,2006,The Departed,"$289,660,619","$132,384,315","$157,276,304"
524,2011,Bridesmaids,"$289,632,023","$169,211,718","$120,420,305"
525,2007,Fantastic Four: Rise of the Silver Su…,"$289,480,691","$131,921,738","$157,558,953"
526,1988,Coming to America,"$288,800,000","$128,152,301","$160,647,699"
527,2000,What Lies Beneath,"$288,693,989","$155,464,351","$133,229,638"
528,2013,Oblivion,"$287,916,633","$89,107,235","$198,809,398"
529,2007,Bee Movie,"$287,594,577","$126,631,277","$160,963,300"
530,2015,Pitch Perfect 2,"$287,215,196","$184,296,230","$102,918,966"
531,2013,Turbo,"$286,896,578","$83,028,130","$203,868,448"
532,2001,American Pie 2,"$286,500,000","$145,096,820","$141,403,180"
533,1965,The Sound of Music,"$286,214,195","$163,214,286","$122,999,909"
534,2013,Elysium,"$286,192,091","$93,050,117","$193,141,974"
535,1998,Lethal Weapon 4,"$285,400,000","$130,444,603","$154,955,397"
536,2005,Wedding Crashers,"$283,218,368","$209,218,368","$74,000,000"
537,1994,Speed,"$283,200,000","$121,248,145","$161,951,855"
538,2012,John Carter,"$282,778,100","$73,058,679","$209,719,421"
539,1977,Saturday Night Fever,"$282,400,000","$139,486,124","$142,913,876"
540,1995,Casper,"$282,300,000","$100,328,194","$181,971,806"
541,2012,The Bourne Legacy,"$280,355,920","$113,203,870","$167,152,050"
542,1998,Shakespeare in Love,"$279,500,000","$100,317,794","$179,182,206"
543,2017,Split,"$278,754,594","$138,141,585","$140,613,009"
544,2010,The Tourist,"$278,731,369","$67,631,157","$211,100,212"
545,2001,Bridget Jones's Diary,"$277,902,373","$71,500,556","$206,401,817"
546,2000,Scary Movie,"$277,200,000","$157,019,771","$120,180,229"
547,2016,Alice Through the Looking Glass,"$276,928,112","$77,042,381","$199,885,731"
548,1987,Beverly Hills Cop II,"$276,665,036","$153,665,036","$123,000,000"
549,2002,Scooby-Doo,"$276,294,164","$153,294,164","$123,000,000"
550,2014,Divergent,"$276,014,965","$150,947,895","$125,067,070"
551,1991,The Silence of the Lambs,"$275,726,716","$130,726,716","$145,000,000"
552,2008,Gran Torino,"$274,543,085","$148,095,302","$126,447,783"
553,2008,High School Musical 3: Senior Year,"$274,392,880","$90,559,416","$183,833,464"
554,2013,Cloudy with a Chance of Meatballs 2,"$274,392,649","$119,793,567","$154,599,082"
555,1996,The Nutty Professor,"$273,814,019","$128,814,019","$145,000,000"
556,1996,Jerry Maguire,"$273,552,592","$153,952,592","$119,600,000"
557,2018,Tomb Raider,"$273,477,501","$58,250,803","$215,226,698"
558,2012,Lincoln,"$273,346,281","$182,207,973","$91,138,308"
559,2001,Lara Croft: Tomb Raider,"$273,330,185","$131,144,183","$142,186,002"
560,2003,Bad Boys II,"$273,271,982","$138,540,870","$134,731,112"
561,2010,Grown Ups,"$272,223,000","$162,001,186","$110,221,814"
562,2009,The Princess and the Frog,"$270,997,378","$104,400,899","$166,596,479"
563,2014,Neighbors,"$270,944,428","$150,086,800","$120,857,628"
564,1993,The Firm,"$270,340,892","$158,340,892","$112,000,000"
565,2014,Mr. Peabody & Sherman,"$269,806,430","$111,506,430","$158,300,000"
566,2008,"10,000 B.C.","$269,065,678","$94,784,201","$174,281,477"
567,2021,A Quiet Place: Part II,"$268,625,879","$159,578,799","$109,047,080"
568,1972,The Godfather,"$268,500,000","$134,966,411","$133,533,589"
569,2014,Exodus: Gods and Kings,"$268,314,513","$65,014,513","$203,300,000"
570,2010,The Expendables,"$268,268,174","$103,068,524","$165,199,650"
571,1942,Bambi,"$268,000,000","$102,797,000","$165,203,000"
572,2007,American Gangster,"$267,985,456","$130,164,645","$137,820,811"
573,2013,Weâre the Millers,"$267,816,276","$150,394,119","$117,422,157"
574,2002,xXx,"$267,200,000","$141,930,000","$125,270,000"
575,1992,Batman Returns,"$266,824,291","$162,833,635","$103,990,656"
576,2003,Something's Gotta Give,"$266,685,242","$124,685,242","$142,000,000"
577,1993,Indecent Proposal,"$266,600,000","$106,614,059","$159,985,941"
578,2018,Maze Runner: The Death Cure,"$265,878,536","$58,032,443","$207,846,093"
579,2008,The Incredible Hulk,"$265,573,859","$134,806,913","$130,766,946"
580,1995,Waterworld,"$264,246,220","$88,246,220","$176,000,000"
581,1998,The Truman Show,"$264,118,201","$125,618,201","$138,500,000"
582,1997,The Fifth Element,"$263,898,761","$63,570,862","$200,327,899"
583,2004,Bridget Jones: The Edge Of Reason,"$263,894,551","$40,203,020","$223,691,531"
584,2011,Real Steel,"$263,880,341","$85,463,309","$178,417,032"
585,1950,Cinderella,"$263,591,415","$85,000,000","$178,591,415"
586,2017,Baahubali 2: The Conclusion,"$263,502,914","$18,985,794","$244,517,120"
587,2013,Epic,"$262,794,441","$107,518,682","$155,275,759"
588,1995,Jumanji,"$262,758,310","$100,458,310","$162,300,000"
589,2006,Borat,"$261,443,242","$128,505,958","$132,937,284"
590,1990,Total Recall,"$261,400,000","$119,394,839","$142,005,161"
591,1997,The Full Monty,"$261,249,383","$45,950,122","$215,299,261"
592,2005,Robots,"$260,636,271","$128,200,012","$132,436,259"
593,2013,The Lone Ranger,"$260,002,115","$89,302,115","$170,700,000"
594,2000,Charlie's Angels,"$259,736,090","$125,305,545","$134,430,545"
595,2017,Blade Runner 2049,"$259,238,971","$92,054,159","$167,184,812"
596,2010,Knight and Day,"$258,751,370","$76,423,035","$182,328,335"
597,1985,Out of Africa,"$258,210,860","$79,096,868","$179,113,992"
598,2011,Super 8,"$257,972,745","$127,004,179","$130,968,566"
599,2013,American Hustle,"$257,858,943","$150,098,456","$107,760,487"
600,2000,Erin Brockovich,"$257,805,243","$125,548,685","$132,256,558"
