episode,episode_order,speaker,utterance
75394,9,Mr. DAN MURPHY (The Christian Science Monitor),"The other issue is is that Sunnis didn't participate in the January 30th      elections.  So in this process and in this interim parliament, you know,      they count almost no seats at all, and they probably make up anywhere      from 20 to 30 percent of the population.  What they would really like is      to delay and delay and delay until this interim parliament collapses and      new elections are held so that they could have an election, participate      in that election in greater numbers and have a lot more real political      influence.  Of course, that would be a disaster for the United States      because it would set us back to January effectively."
75394,10,"MADELEINE BRAND, host",So where is the US in all this?  Is it quietly behind the scenes      trying to pressure one side or the other to make concessions?
75394,11,Mr. DAN MURPHY (The Christian Science Monitor),"They're not so quietly behind the scenes.  Ambassador Zalmay      Khalilzad, who was in Afghanistan before and worked on the constitution      there, has been sitting--you know, he's probably spent 30 years sitting      down with these people in the past couple of days.  And he's in a very      interesting position.  On the one hand, the Bush administration, for      domestic political consumption, wants a fast deal as evidence of      progress, and that's why the keep emphasizing these deadlines.  And the      last deadline we wished last week was a sort of blow to the president."
70039,35,GLEN (Caller),I think she described it very well. I really do.
70039,36,"NEAL CONAN, host","All right, Glen."
70039,37,GLEN (Caller),I hope you use a little better judgment next time. That's just my opinion.
70039,38,"NEAL CONAN, host","OK, Glen, thanks very much."
70039,39,GLEN (Caller),Thanks.
58225,16,"Mr. DAVID SAVAGE (Supreme Court Reporter, Los Angeles Times, Chicago Tribune)","I think this opinion was really about the health care mandate, which is coming up next. This is the first time in five years they've had a big case about the reach of federal power. Elena Kagan argued it, and everybody knew this case was  even though it was ostensibly about holding sex predators after their prison terms, the real dispute was the reach of federal power."
58225,17,"NEAL CONAN, host",So it was a proxy.
58225,18,"Mr. DAVID SAVAGE (Supreme Court Reporter, Los Angeles Times, Chicago Tribune)","Yes, and John Roberts actually joined this opinion. It was a five-to-four opinion basically saying that Congress can enact laws that are intended to  that are sort of necessary to carry out their aims."
58225,19,"Mr. DAVID SAVAGE (Supreme Court Reporter, Los Angeles Times, Chicago Tribune)","And if you think about the health care mandate debate, remember the argument is we need to mandate that all persons have health insurance. That's a necessary condition to regulate the national health insurance market."
58225,20,"Mr. DAVID SAVAGE (Supreme Court Reporter, Los Angeles Times, Chicago Tribune)","Everybody agrees that Congress can regulate a market. The question was, can they also regulate sort of individuals and say, you must have insurance. And I would read this opinion today as basically five of them saying that Congress has very broad authority for things like this."
58225,21,"NEAL CONAN, host",And those most opposed were Clarence Thomas and Mr. Scalia.
58225,22,"Mr. DAVID SAVAGE (Supreme Court Reporter, Los Angeles Times, Chicago Tribune)","Yes, they have the sort of small-government, small-Constitution view. It's the kind of thing you hear the Tea Party people saying, you know, that the Constitution created a federal government with limited powers and only those limited powers. You know, you hear that all the time, and Scalia and Thomas basically said that, that Congress has certain limited powers, but we're not going to allow it just to willy-nilly to regulate aspects of American life."
58225,23,"Mr. DAVID SAVAGE (Supreme Court Reporter, Los Angeles Times, Chicago Tribune)","But as you said, this is a seven-to-two  only Scalia and Thomas voiced that view."
58225,24,"NEAL CONAN, host","So if that seven-to-two majority is predictive, the health care law, well, it may not be that predictive, you never know."
58225,25,"Mr. DAVID SAVAGE (Supreme Court Reporter, Los Angeles Times, Chicago Tribune)","That's right, you never know. But I would sure think - there's a lot of language. When this case goes into court, and I think it's in the court in Florida already..."
58225,26,"NEAL CONAN, host",Yes.
58225,27,"Mr. DAVID SAVAGE (Supreme Court Reporter, Los Angeles Times, Chicago Tribune)","The Obama administration is going to cite this opinion and this language as saying, see, the Supreme Court just this year has said Congress has this broad authority to pass laws that are necessary for carrying out its purposes."
58225,28,"NEAL CONAN, host","Now let's get on to the second case, and that involved minors who are sentenced to life without the possibility of parole in cases that do not involve homicides. And as I read the decision, this was sort of a follow-on to the ruling, what, just a year or so ago, that  some time ago  that minors could not be put to death because of psychological issues. Their brains are not fully developed."
58225,29,"Mr. DAVID SAVAGE (Supreme Court Reporter, Los Angeles Times, Chicago Tribune)","Yes, that's right, Neal. It's very much the same thinking and very much the same justice. Justice Kennedy wrote both opinions, and in both cases, he stressed that teenagers, minors, are not fully formed. Yes, they can be punished, yes they can be dangerous people, but we should take into account their youth."
58225,30,"Mr. DAVID SAVAGE (Supreme Court Reporter, Los Angeles Times, Chicago Tribune)","And in the case of the juveniles who commit murder, Kennedy said its - they are not the worst of the worst and should not be sentenced to death. In this case, it involved life without parole for crimes that  it was like robbery or assault, that did not involve murder."
58225,31,"Mr. DAVID SAVAGE (Supreme Court Reporter, Los Angeles Times, Chicago Tribune)","I must say, this case came up last fall, and until it came up, I didn't know there was such a thing in the United States. There are 77 such inmates in Florida prisons, that is 15-, 16-, 17-year-olds that committed crimes like an assault or a robbery. A judge got really angry at them and said, look, you've been in here for a couple crimes before, I think you're hopeless. I'm going to sentence you to life in prison without the possibility of parole."
58225,32,"Mr. DAVID SAVAGE (Supreme Court Reporter, Los Angeles Times, Chicago Tribune)","The Supreme Court said today that's cruel and unusual punishment. It doesn't mean all these young men go free, it just means they're entitled to have a hearing somewhere down the road to see if they've been sufficiently rehabilitated that they can be released."
58225,33,"NEAL CONAN, host","So they would have to go before a parole board, and they would have to approve the release."
58225,34,"Mr. DAVID SAVAGE (Supreme Court Reporter, Los Angeles Times, Chicago Tribune)","That's correct. All this says is that you can't shut the prison door forever and say, never again can you have a hearing. They're entitled to a parole hearing to say that theyre no longer dangerous."
58225,35,"NEAL CONAN, host",Would they have to be resentenced?
58225,36,"Mr. DAVID SAVAGE (Supreme Court Reporter, Los Angeles Times, Chicago Tribune)","I assume that the state  I dont know for sure. I assume all the states are going to have to go back and impose some different sentence because the court was quite clear today in saying this sentence, this - categorically, you may not sentence someone to life in prison without parole if the person was under 18 at the time of the crime and if the crime did not involve a murder."
58225,37,"NEAL CONAN, host","And what did  it was a five-to-four decision, so a close split. What did the minority say?"
58225,38,"Mr. DAVID SAVAGE (Supreme Court Reporter, Los Angeles Times, Chicago Tribune)","The three dissenters  I should say, by the way, John Roberts agreed with the majority in part. He said this young man's sentence was grossly disproportionate, was unconstitutional. He just didn't like setting a categorical rule for all of them."
58225,39,"Mr. DAVID SAVAGE (Supreme Court Reporter, Los Angeles Times, Chicago Tribune)","The three dissenters basically said, as they've said before, is that this is up to the states and the people, juries and judges. Cruel and unusual punishment, we should interpret it by what it meant 200 years ago, and it's clear that states could punish people, even put people to death, for relatively minor crimes. And therefore, we shouldnt second-guess the state's decision to impose these prison terms."
58225,40,"NEAL CONAN, host","Why should we nine justices in Washington think that we're better-suited to make these decisions than legislatures in Tallahassee or Sacramento, for that matter?"
58225,42,"NEAL CONAN, host","Okay. David Savage, this case, does it have broad implications like you suggest the first one did?"
58225,43,"Mr. DAVID SAVAGE (Supreme Court Reporter, Los Angeles Times, Chicago Tribune)","Well, I don't think it's easy to say. The court has been  you know, this is the first time in a big way that they have put a categorical limit on prison terms. In the past, the Eighth Amendment has always been about the death penalty. But if you said to me, what's next down the road? You know, I don't see another case comes along that Justice Kennedy could go along with."
58225,44,"Mr. DAVID SAVAGE (Supreme Court Reporter, Los Angeles Times, Chicago Tribune)","He didn't want to hand down this decision in a case involving a juvenile who committed a murder. It had appeals to that effect, and the court always turns them down. So they took a case that's involved life terms for juveniles where there's no murder involved. So I don't see it immediately translating into, you know, another group or another category of cases."
58225,45,"NEAL CONAN, host","Well, David Savage, thanks very much for your time, as always."
58225,46,"Mr. DAVID SAVAGE (Supreme Court Reporter, Los Angeles Times, Chicago Tribune)","Thanks, Neal."
58225,47,"NEAL CONAN, host","David Savage covers the Supreme Court for the Los Angeles Times and the Chicago Tribune, joined us today by phone from his office there. In just a moment, we're going to be talking with advocates in both these cases, advocates who as it happens, both got the decisions they hoped to get, at least in part."
58225,48,"NEAL CONAN, host","We'd like to hear from those of you who are affected by these cases one way or the other. Give us a call, 800-989-8255. Email us, talk@npr.org."
58225,49,"NEAL CONAN, host","We'll start here in Studio 3A with Marc Mauer, executive director of the Sentencing Project. They filed a brief in the case involving life sentences for juveniles with no chance of parole. The brief argued against those tough sentences for young offenders. Today, the court agreed. Marc Mauer with us. Thanks very much for your time."
58225,50,"Mr. MARC MAUER (Executive Director, The Sentencing Project)",Good to be here.
58225,51,"NEAL CONAN, host",And obviously you're happy with this decision.
58225,52,"Mr. MARC MAUER (Executive Director, The Sentencing Project)","We are pleased. This is, you know, a very significant recognition that the so-called get-tough policies of the last several decades, they way they piled up both our criminal justice and juvenile justice systems, you know, have now gone well beyond what I think most Americans, you know, think is a reasonable way to respond to crimes committed by juveniles."
58225,53,"Mr. MARC MAUER (Executive Director, The Sentencing Project)","And we should note these were serious crimes, even though they were non-homicides. The question still becomes, though, you know, are juveniles the same as adults? And I think the court has clearly said, no, they're not."
58225,54,"Mr. MARC MAUER (Executive Director, The Sentencing Project)","And, you know, any parent who has a 13-year-old, you know, could answer that question, as well. You know, kids grow up. Kids change. This is a very (unintelligible)..."
58225,55,"NEAL CONAN, host","Impulse control is different. But nevertheless, individuals vary. Some of these kids may be fully formed."
58225,56,"Mr. MARC MAUER (Executive Director, The Sentencing Project)","They certainly may be but, you know, that's the reason why we have restrictions on the right to vote at what age, what age you can drive a car, drink alcohol and all that. You know, there may be some 14-year-olds who can responsibly drink alcohol, but we're not really in a position to make that determination on a case-by-case basis, and so we have to set some sort of broad standard."
58225,57,"Mr. MARC MAUER (Executive Director, The Sentencing Project)","And in this case, you know, when the consequences are so severe, in particular, the court has recognized that we need to set, you know, set that broad standard that says beyond this, below this, it's just not reasonable."
58225,58,"NEAL CONAN, host","And so you have to come up with an arbitrary number, which in this case is 18."
58225,59,"Mr. MARC MAUER (Executive Director, The Sentencing Project)","Yes, and, you know, I think it's important to note that, you know, the outlier position of the United States in regard to use of juvenile life without parole, you know, in addition to the kids who are affected by this ruling today, the others, you know, serving life without parole for homicides as well, more than 2,000 sentenced for crimes committed when theyre under the age of 18. If you look around the world, there is literally not a single other case that's been identified in any other country where any juvenile under 18 is serving such a sentence."
58225,60,"NEAL CONAN, host","And only about 100 or so in this country, as I understand it."
58225,61,"Mr. MARC MAUER (Executive Director, The Sentencing Project)",Hundred and twenty-nine for non-homicides and more for homicides.
58225,62,"NEAL CONAN, host","And most of them, as we mentioned, in the state of Florida. Stay with us, if you would, Marc Mauer. We're also going to be joined by Stephen McAllister, solicitor general of Kansas, to talk about the other Supreme Court case today. And we'd like to hear your calls. If you're affected by either of these decisions, 800-989-8255. Email us, talk@npr.org. Stay with us. I'm Neal Conan. It's TALK OF THE NATION from NPR News."
58225,63,_NO_SPEAKER,(Soundbite of music)
58225,64,"NEAL CONAN, host",This is TALK OF THE NATION. Im Neal Conan in Washington.
58225,65,"NEAL CONAN, host","Two decisions by the Supreme Court today changed the rules today on who can be held in prison and for how long, and raise new questions about who decides. Sex offenders deemed dangerous can be held indefinitely even after their sentence ends, while juveniles who didn't kill anyone cannot be sentence to life without possibility of parole. The court ruled they must be considered for release."
58225,66,"NEAL CONAN, host","We'll talk with two people who filed briefs in those cases. If either of these cases affects you, give us a call, tell us how, 800-989-8255. Email us, talk@npr.org. You can also join the conversation on our website. Thats at npr.org. Click on TALK OF THE NATION."
58225,67,"NEAL CONAN, host","Marc Mauer of The Sentencing Project, just to follow up on something we asked David Savage about a moment ago, will these  given this decision, will juveniles sentenced to life without the possibility of parole, will they have to be resentenced?"
58225,68,"Mr. MARC MAUER (Executive Director, The Sentencing Project)","Well, the court has basically said that every state that maintains some of these juveniles serving life without parole has to provide some kind of mechanism by which they can be considered for release at some point, to demonstrate they'd been rehabilitated, are good candidates for being released."
68175,55,"Mr. ED CURRY (Farmer and Owner, Curry Seed and Chile Company, Pearce, Arizona)","Good question.  Good question, Ira."
58225,69,"Mr. MARC MAUER (Executive Director, The Sentencing Project)","So that may vary from place to play and all that. And importantly, too, there are only 11 states plus the federal system where these even apply, where we actually have juveniles serving these penalties for non-homicides, which I think was part of the court's assessment, as well, declining support, declining interest in maintaining this penalty."
58225,70,"NEAL CONAN, host","And let's bring on our other guest today. In the other notable high court ruling, U.S. v. Comstock, the Supreme Court ruled the federal government can hold convicts even after they serve their time if they are deemed sexually dangerous. Stephen McAllister, solicitor general of Kansas, he filed a brief arguing in favor of that federal law. He's been kind enough to join us here in Studio 3A. Thanks very much for your time today."
58225,71,"Mr. STEPHEN McALLISTER (Solicitor General, Kansas)",My pleasure.
58225,72,"NEAL CONAN, host",And you also are pleased with today's ruling.
58225,73,"Mr. STEPHEN McALLISTER (Solicitor General, Kansas)","We're very pleased with the ruling, yes."
58225,74,"NEAL CONAN, host",And how many people fall into this category?
58225,75,"Mr. STEPHEN McALLISTER (Solicitor General, Kansas)","It's not a large number. The federal system is likely to be pretty selective. The programs are long-term, they're intensive. They're very costly. That's one of the reasons the states wrote in this case that we favored the federal program as a complement to our own."
58225,76,"Mr. STEPHEN McALLISTER (Solicitor General, Kansas)",There are sort of inherent limits on how many individuals can be accommodated in these programs.
58225,77,"NEAL CONAN, host",Who decides when someone is sexually dangerous and therefore cannot be released?
58225,78,"Mr. STEPHEN McALLISTER (Solicitor General, Kansas)","Well, there's typically a screening mechanism for inmates who are about to be released, coming to their end of their sentence. In Kansas, for example, it's a group that includes people from the attorney general's office who look at inmates whose sentences meet the criteria to decide, but it's a very small fraction. It's a very selective process because we simply don't have unlimited resources to do this."
58225,79,"Mr. STEPHEN McALLISTER (Solicitor General, Kansas)","So it's very selective and a very small percentage, but it is typically driven by the attorney general's office or, in this case, the Department of Justice will decide this particular individual is someone we will file a petition and seek to have him committed for further care and treatment."
58225,80,"NEAL CONAN, host","File a petition, does that have to go before a judge?"
58225,81,"Mr. STEPHEN McALLISTER (Solicitor General, Kansas)","Yes. There's a fairly elaborate process that goes with this. So it would be a petition filed by the government. There's typically appointment of counsel. There may be expert witnesses, proceedings in front of a judge or, in some of the states, in front of a jury, a very trial-like process to determine if this person meets the statutory criteria for civil commitment."
58225,82,"NEAL CONAN, host","And then at some point, do they have the possibility of parole? Can they re-apply for release?"
58225,83,"Mr. STEPHEN McALLISTER (Solicitor General, Kansas)","Well, they  under the state systems, very definitely. In fact, there's almost always an annual review that takes place and it could be the reviewers would suggest they may be ready, but also they typically have the right to petition on at least an annual basis to ask for release, saying my circumstances have changed, I should be released. Even though the government's not asking to let me go, I think I'm entitled to it. So there's a regular way to challenge that."
58225,84,"NEAL CONAN, host","As a practical matter, to your knowledge, has anybody been released under that program?"
58225,85,"Mr. STEPHEN McALLISTER (Solicitor General, Kansas)","I don't  not under the federal program because it's really been on hold for this, but under the state program, some. It's not a high percentage and this tends to be, by the nature of it, a long-term process and not always, unfortunately, a successful process."
58225,86,"Mr. STEPHEN McALLISTER (Solicitor General, Kansas)","I mean, one of Kansas' most notorious committees, who went to the Supreme Court, a fellow named Crane(ph), was eventually released from the program but is now serving time in a Missouri prison because when he got out, he committed more sexually violent offenses, and he's now in prison for the rest of his life."
58225,87,"NEAL CONAN, host","Wouldnt that not discourage people from, under any circumstances, releasing somebody?"
58225,88,"Mr. STEPHEN McALLISTER (Solicitor General, Kansas)","Well, I think there is some wariness and some reluctance. On the other hand, the people involved with the programs do typically believe strongly that there is the ability to treat, to make a difference, to improve these individuals. It's not a  it's not a schizophrenic kind of, it's not a drug-treated sort of situation. It's much more of a cognitive, a behavioral alteration, and that's part of the longer-term nature. But there are many out there who believe they can successfully treat these individuals."
58225,89,"NEAL CONAN, host","You are obviously here talking about the cases that you were involved in, but you're not unfamiliar with each others' cases. I wonder, Steven McAllister, your opinion on the ruling about juveniles."
58225,90,"Mr. STEPHEN McALLISTER (Solicitor General, Kansas)","Well, I think it's a very tricky case because you have the  you see the competing ways of interpreting the Eighth Amendment, and you can see the justices who say, look, it's very limited. We shouldnt be substituting basically our judgment for that of legislatures, even if it's a minority of states at this point who do it. There are still 37, I think, Justice Kennedy said, who authorize, maybe only 12 or 13 who actually do it. And it's a typical criticism in the Eighth Amendment context."
58225,91,"Mr. STEPHEN McALLISTER (Solicitor General, Kansas)","On the other side of it, there is a lot of notions built into the system that the juvenile system is different in many, many ways..."
58225,92,"NEAL CONAN, host","Well, these are kids convicted as adults."
58225,93,"Mr. STEPHEN McALLISTER (Solicitor General, Kansas)","They're convicted as adults, but I mean, the point is they are juveniles when charged. And Justice Kennedy emphasized both the fact that they may have less culpability and also that these are not murders."
58225,94,"Mr. STEPHEN McALLISTER (Solicitor General, Kansas)","So taking those into account, I certainly can understand where the court came down. Kansas is not one of those states that is imposing these sentences. So as a practical matter, I'm not terribly concerned, but the argument is fairly familiar between the two sides here."
58225,95,"NEAL CONAN, host","Marc Mauer, on the case involving sexual predators who can be held indefinitely, your opinion on that?"
68175,56,"IRA FLATOW, host","We used to not know anything about chili pepper, so we're..."
58225,96,"Mr. MARC MAUER (Executive Director, The Sentencing Project)","Well, you know, it raises the broader policy questions of how do we handle people whove committed serious sexual offense. And, you know, we know a couple things. One is that there's a broad spectrum of sexual offenses that people commit. You know, on one hand, we have the Peeping Toms. On the other hand, we have the serial rapists waiting in the bushes."
58225,97,"Mr. MARC MAUER (Executive Director, The Sentencing Project)","And, you know, if there's anything we've learned, it's that, you know, those behaviors, we need to do very different kinds of individualized responses depending on the severity and where that behavior comes from."
58225,98,"Mr. MARC MAUER (Executive Director, The Sentencing Project)","Secondly, we know that in far too many instances, the problem we have in the prison system, not even talking about civil commitment, is how limited the treatment is in the first place."
58225,99,"Mr. MARC MAUER (Executive Director, The Sentencing Project)","And, you know, the resources aren't there. The public interest isn't there. The legislative interest is not there. And so we spend enormous amounts of money keeping people confined when, at least in some of these cases, we probably could do a much better job."
58225,100,"NEAL CONAN, host","Let's get some listeners involved in the conversation, 800-989-8255. Email talk@npr.org. Linda's(ph) on the line from Mountain View in California."
58225,101,LINDA (Caller),Hello.
58225,102,"NEAL CONAN, host",Hi.
58225,103,LINDA (Caller),"I'm the mother of a child who was molested by a sexual predator, and I just wanted to share my story. In California, we have determinate sentencing. And so the person, even though there were multiple offenses, pled it down to two, which means he's not a candidate for three strikes you're out."
58225,104,LINDA (Caller),"At the end of his prison sentence, he was sent to the state hospital Atascadero. Without the doctor's permission and without any kind of an elaborate hearing, they gave him what is called an administrative law judge hearing. And the judge determined that he had the right to petition for release. And what the probation officer told me is because he had served his sentence, even though his doctor felt he should be held on what they call a 5150, danger to themself or others, the law judge said the hospital had to release him. And so he was released after about two years."
58225,105,"NEAL CONAN, host",And that was after one of the people he was - he attacked was your child?
58225,106,LINDA (Caller),Yes.
58225,107,"NEAL CONAN, host",That must be awful.
58225,108,LINDA (Caller),"And that had a huge effect on my child. My child is now 19, and this happened when he was three."
58225,109,"NEAL CONAN, host",And is it a he or a she?
58225,110,LINDA (Caller),He.
58225,111,"NEAL CONAN, host","He, does he continue to fear attack by this man?"
58225,112,LINDA (Caller),"I know he  yeah, he's at times said he would like to get a gun and shoot him. And it was 16 years ago."
58225,113,"NEAL CONAN, host",Sixteen years ago. So this is a very living case.
58225,114,LINDA (Caller),"Yeah, and he's had years and years of counseling."
58225,115,"NEAL CONAN, host","And to your knowledge, after his release, has he gone on to attack anyone else?"
58225,116,LINDA (Caller),"I'm not sure. He's a family member. This is the really sick part. He's a family member, and he continues to send birthday cards and Christmas cards to all my kids."
58225,117,"NEAL CONAN, host",Makes the trip to the mailbox difficult.
58225,118,LINDA (Caller),"Yeah, so I mean, I think the thing is he's still in complete denial, I'm pretty sure, that it was really that bad a thing that happened."
58225,119,"NEAL CONAN, host","Linda, thanks very much for your call, and thank you for sharing that. I know that wasn't easy."
58225,120,LINDA (Caller),Okay.
58225,121,"NEAL CONAN, host","Appreciate it. And Stephen McAllister, it's stories like that that make it so difficult to approach these cases. You would think that  again, this was not the issue today, the fairness of it, but you say, I finished my sentence, why are you still holding me?"
58225,122,"Mr. STEPHEN McALLISTER (Solicitor General, Kansas)","Right, and it's complicated, but this was a lot of the argument that was sorted out in the Hendrix(ph) case almost 15 years ago. On the one hand, they finished their sentence. On the other hand, often these are multiple offenders and the people that are drawn into the commitment programs are not going to be typically first-time offenders."
58225,123,"Mr. STEPHEN McALLISTER (Solicitor General, Kansas)",The other problem is prosecution is also sometimes very difficult. A circumstance like she just described with a three-year-old victim would be a very difficult case in many ways to prosecute. And I think there is a perception that sometimes those sentences have been plea bargained down and so forth to be much lighter than perhaps they should've been.
58225,124,"Mr. STEPHEN McALLISTER (Solicitor General, Kansas)","In the commitment  and Hendricks(ph) has made clear - not intended as a substitute for the criminal sentence. But on the other hand, it does serve the function of not only treating these individuals but also incapacitating them so that they cannot re-offend while they're in custody of the state or the federal government."
58225,125,"NEAL CONAN, host",Incapacitating them how?
58225,126,Solicitor General MCALLISTER,"In the sense that they're held in a secure facility while they receive treatment, so that they are not just out in the community, even on a sort of a release program or a probation or something."
58225,127,"NEAL CONAN, host",Let's go next to Beverly(ph). Beverly with us from Shaker Heights in Ohio.
58225,128,BEVERLY (Caller),Hi. I'm calling with a question about what percentage of the juveniles that are being held - the 77 juveniles that are being - currently being held with life sentences are African-Americans.
58225,129,"NEAL CONAN, host",Those are just the ones in Florida. That's life sentence without the possibility of parole. And let's return to Marc Mauer.
58225,130,"Mr. MARC MAUER (Executive Director, The Sentencing Project)","Yeah. Well, we do know that for life without parole, both for murder and non-murder, nationally, there are very disproportion rates of confinement for African-Americans and Latinos, far out of their proportion to the general population and somewhat higher than their proportion of the sort of regular, if you want to think of that, prison population."
68175,22,"Dr. JEFF SILVERTOOTH (Professor and Head, Plant Scientist Department, University of Arizona, Tucson)","Well, I think we kind of gave it that name.  Sounded good."
68175,23,_NO_SPEAKER,(Soundbite of laughter)
68175,125,"IRA FLATOW, host",Yeah.
58225,131,"Mr. MARC MAUER (Executive Director, The Sentencing Project)","So very significant, and certainly that's true for these 77 kids in Florida, which is by far the leading state in the nation. Which raises questions of, you know, how are cases processed? Do these numbers just reflect criminal activity or does it reflect access to resources and decision making in the juvenile criminal justice systems?"
58225,132,BEVERLY (Caller),Mm-hmm. So you don't know what percentage of those 77 that are currently being held are African-American?
58225,133,"Mr. MARC MAUER (Executive Director, The Sentencing Project)","You know, I don't have these figures in front of me, but I do know that it's a substantial percentage, certainly."
58225,134,BEVERLY (Caller),Thank you for taking my call.
58225,135,"NEAL CONAN, host","Okay, Beverly. Thanks very much. And I just wanted to follow up, briefly, on what David Savage was telling us earlier. He said he didn't see anywhere for this to go. Obviously, there are life sentences without the possibility of parole for minors that do involve homicides. Is that where you see this going?"
58225,136,"Mr. MARC MAUER (Executive Director, The Sentencing Project)","Well, I think that's sort of the next logical step. You know, I think after 2005, when the Supreme Court banned the death penalty for juveniles, this became the next arena essentially. Now, five years later, we've made a significant in roads there, and so that would be the next logical step or - and also it's extremely long sentences for juveniles, as well. You know, some states that have made changes, Colorado and others, still impose 40-year prison terms for juveniles."
58225,137,"Mr. MARC MAUER (Executive Director, The Sentencing Project)","And, you know, the fundamental question still remains the same. You know, are our kids capable of change? How much time is enough? And, you know, at what point do we recognize the different culpability of juveniles and how do we take that into account?"
58225,138,"NEAL CONAN, host","Mark Mauer of the Sentencing Project. Also with us, Stephen McAllister, the solicitor general of Kansas."
58225,139,"NEAL CONAN, host",You're listening to TALK OF THE NATION from NPR News.
58225,140,"NEAL CONAN, host",And let's go next to Paul(ph). Paul with us here from the bay area in California.
58225,141,PAUL (Caller),Hello. Thank you for doing this program.
58225,142,"NEAL CONAN, host",Go ahead.
58225,143,PAUL (Caller),"We represent a client who is a black male, who is charged with - actually a third strike. This is his third strike though. He has no prior sexual assaults, and it's not against a minor. But he has AIDS, and so it makes our case very difficult for us to take it to trial, because if the jury got this case, they would convict him just on the fact that he knew he had AIDS for 15 years and he raped this woman who was disabled."
58225,144,"NEAL CONAN, host",And did - took no precautions - did not use a condom.
58225,145,PAUL (Caller),"Took no precautions as far as we know. We don't know, because the victim doesn't know and he won't talk to us about that."
58225,146,PAUL (Caller),"But I can understand this issue in the context of against children. The woman he attacked in this case was an adult and he's an adult. The group in the United States that has the highest rate of AIDS is young black girls due to gang rape by black males in the United States. And so it's like a death sentence, this AIDS issue. And people - a lot of people don't realize that black girls have the highest rate of death from AIDS due to this problem. And so I could see where the Supreme Court has probably considered that fact in their calculation."
58225,147,"NEAL CONAN, host","Did this come into it, Stephen McAllister, at all?"
58225,148,Solicitor General MCALLISTER,I'm not aware of whether anyone briefed that. I don't recall any mention of that.
58225,149,"NEAL CONAN, host",And you were there arguing your case but you didn't hear it.
58225,150,Solicitor General MCALLISTER,No.
58225,151,"NEAL CONAN, host","All right. Paul, obviously, you've got a difficult case in front of you. We wish you the best of luck."
58225,152,PAUL (Caller),Thank you...
58225,153,"NEAL CONAN, host",All right. Appreciate it.
58225,154,PAUL (Caller),...for doing the program.
58225,155,"NEAL CONAN, host","Okay. Thank you very much. And let me follow up, Stephen McAllister, the question of treatment. Is there treatment available in the prisons where these men are sentenced to the first place, and after they're held, are they sent to different facilities? Is treatment available there?"
58225,156,Solicitor General MCALLISTER,"Well, the answer is yes and yes. Although I think a comment was made earlier, sometimes what's available in prison is limited. And there are problems with prison treatment that are partly a result of this setting also. We've also been to the Supreme Court in different case involving an inmate who didn't want to participate in the prison treatment program. And when he lost privileges as a result, he argued that that was unconstitutional. I mean, so some inmates may want to take full advantage of prison treatment programs, but there are a significant number who don't want to participate and will not necessarily do so willingly or voluntarily. But it is available in, at least, limited forms."
58225,157,Solicitor General MCALLISTER,"Now, when they enter one of these civil commitment programs because it is not intended to be punitive and is not part of the criminal justice system, they are moved to a different facility. And so in Kansas, for example, it's a mental health facility. Now, it's, granted, somewhat prison-like and that it's got to be secure by the nature of these individuals, so it's not just a house on a quiet neighborhood street. I mean, it's still a prison-like facility, but they are not usually in contact with, and certainly not housed with a general prison population. They're completely segregated."
58225,158,"NEAL CONAN, host","Just very briefly, we only have a few seconds left, would you agree with David Savage's belief that this was, in some ways, a proxy for the health care case."
58225,159,"Mr. STEPHEN McALLISTER (Solicitor General, Kansas)","It's an interesting thought. I suppose it's a very  and I think this is why you had Justice Kennedy and Justice Alito peeling off in separate concurrences. The majority opinion is a very broad assertion of power under the necessary and proper cause. Whether if I will go along with that in a very different kind of setting, you know, it's hard to know. I wouldnt battle out on the outcome there. But it has - certainly would be a case that will be argued."
58225,160,"NEAL CONAN, host",Is Kansas one of the states that's filed suit against the circuit?
58225,161,"Mr. STEPHEN McALLISTER (Solicitor General, Kansas)",Kansas has declined to join that lawsuit.
68175,54,"IRA FLATOW, host",Right.  Can you tell how hot a chili is by the color?  If it's red chili versus a green chili?
58225,162,"NEAL CONAN, host","All right. Thank you very much for your time today. Stephen McAllister, solicitor general of Kansas, also teaches law at the University of Kansas, defended the United States in the U.S. v. Comstock case, with us here in Studio 3A. Also with us Mark Mauer, executive director of The Sentencing Project who wrote an amicus brief in the Graham v. Florida case."
58225,163,"NEAL CONAN, host","And gentlemen, thank you both for your time today. We appreciate it."
58225,164,"Mr. MARC MAUER (Executive Director, The Sentencing Project)",Thanks for having us.
58225,165,"Mr. STEPHEN McALLISTER (Solicitor General, Kansas)",Thank you.
58225,166,"NEAL CONAN, host","Coming up, the first blockbuster of the summer, and it's only spring. NPR's comic book blogger reviews ""Iron Man 2."" Stay with us."
58225,167,"NEAL CONAN, host",It's the TALK OF THE NATION from NPR News.
58131,1,"STEVE INSKEEP, HOST",A group of U.S. officials crossed into North Korea yesterday.
58131,3,"RACHEL MARTIN, HOST","Yeah, the State Department says they met North Korean officials. They are preparing for this possible summit between President Trump and North Korea's leader, Kim Jong Un. This comes after a dizzying few days. The U.S. spoke harshly of North Korea. Then North Korea responded. President Trump canceled the summit. North Korea's tone changed, and so did the president's tone."
58131,4,_NO_SPEAKER,(SOUNDBITE OF ARCHIVED RECORDING)
58131,5,PRESIDENT DONALD TRUMP,I think there's a lot of goodwill. I think people want to see if we can get the meeting and get something done.
